dataset,year,match_id,team,minute_score
2014--brazil,2014,50,Colombia,50
2014--brazil,2014,51,Netherlands,88
2014--brazil,2014,51,Netherlands,90
2014--brazil,2014,51,Mexico,48
2014--brazil,2014,52,Costa Rica,52
2014--brazil,2014,52,Greece,90
2014--brazil,2014,53,France,79
2014--brazil,2014,53,France,90
2014--brazil,2014,54,Germany,92
2014--brazil,2014,54,Germany,120
2014--brazil,2014,54,Algeria,121
2014--brazil,2014,55,Argentina,118
2014--brazil,2014,56,Belgium,93
2014--brazil,2014,56,Belgium,105
2014--brazil,2014,56,United States,107
2014--brazil,2014,57,Brazil,7
2014--brazil,2014,57,Brazil,69
2014--brazil,2014,57,Colombia,80
2014--brazil,2014,58,Germany,13
2014--brazil,2014,60,Argentina,8
2014--brazil,2014,61,Brazil,90
2014--brazil,2014,61,Germany,11
2014--brazil,2014,61,Germany,23
2014--brazil,2014,61,Germany,24
2014--brazil,2014,61,Germany,26
2014--brazil,2014,61,Germany,29
2014--brazil,2014,61,Germany,69
2014--brazil,2014,61,Germany,79
2014--brazil,2014,63,Netherlands,3
2014--brazil,2014,63,Netherlands,17
2014--brazil,2014,63,Netherlands,90
2014--brazil,2014,64,Germany,113
2018--russia,2018,1,Russia,12
2018--russia,2018,1,Russia,43
2018--russia,2018,1,Russia,90
2018--russia,2018,1,Russia,71
2018--russia,2018,1,Russia,90
2018--russia,2018,2,Uruguay,89
2018--russia,2018,17,Russia,47
2018--russia,2018,17,Russia,59
2018--russia,2018,17,Russia,62
2018--russia,2018,17,Egypt,73
2018--russia,2018,18,Uruguay,23
2018--russia,2018,33,Uruguay,10
2018--russia,2018,33,Uruguay,23
2018--russia,2018,33,Uruguay,90
2018--russia,2018,34,Saudi Arabia,45
2018--russia,2018,34,Saudi Arabia,90
2018--russia,2018,34,Egypt,22
2018--russia,2018,4,Iran,90
2018--russia,2018,3,Portugal,4
2018--russia,2018,3,Portugal,44
2018--russia,2018,3,Portugal,88
2018--russia,2018,3,Spain,24
2018--russia,2018,3,Spain,55
2018--russia,2018,3,Spain,58
2018--russia,2018,19,Portugal,4
2018--russia,2018,20,Spain,54
2018--russia,2018,35,Iran,90
2018--russia,2018,35,Portugal,45
2018--russia,2018,36,Spain,19
2018--russia,2018,36,Spain,90
2018--russia,2018,36,Morocco,14
2018--russia,2018,36,Morocco,81
2018--russia,2018,5,France,58
2018--russia,2018,5,France,81
2018--russia,2018,5,Australia,62
2018--russia,2018,6,Denmark,59
2018--russia,2018,22,Denmark,7
2018--russia,2018,22,Australia,38
2018--russia,2018,21,France,34
2018--russia,2018,38,Peru,18
2018--russia,2018,38,Peru,50
2018--russia,2018,7,Argentina,19
2018--russia,2018,7,Iceland,23
2018--russia,2018,8,Croatia,32
2018--russia,2018,8,Croatia,71
2018--russia,2018,23,Croatia,53
2018--russia,2018,23,Croatia,80
2018--russia,2018,23,Croatia,90
2018--russia,2018,24,Nigeria,49
2018--russia,2018,24,Nigeria,75
2018--russia,2018,39,Nigeria,51
2018--russia,2018,39,Argentina,14
2018--russia,2018,39,Argentina,86
2018--russia,2018,40,Iceland,76
2018--russia,2018,40,Croatia,53
2018--russia,2018,40,Croatia,90
2018--russia,2018,10,Serbia,56
2018--russia,2018,9,Brazil,20
2018--russia,2018,9,Switzerland,50
2018--russia,2018,25,Brazil,90
2018--russia,2018,26,Serbia,5
2018--russia,2018,26,Switzerland,52
2018--russia,2018,26,Switzerland,90
2018--russia,2018,41,Brazil,36
2018--russia,2018,41,Brazil,68
2018--russia,2018,42,Switzerland,31
2018--russia,2018,42,Switzerland,88
2018--russia,2018,42,Costa Rica,56
2018--russia,2018,42,Costa Rica,90
2018--russia,2018,11,Mexico,35
2018--russia,2018,12,Sweden,65
2018--russia,2018,28,South Korea,90
2018--russia,2018,28,Mexico,26
2018--russia,2018,28,Mexico,66
2018--russia,2018,27,Germany,48
2018--russia,2018,27,Germany,90
2018--russia,2018,27,Sweden,32
2018--russia,2018,43,South Korea,90
2018--russia,2018,43,South Korea,90
2018--russia,2018,44,Sweden,50
2018--russia,2018,44,Sweden,62
2018--russia,2018,44,Sweden,74
2018--russia,2018,13,Belgium,47
2018--russia,2018,13,Belgium,69
2018--russia,2018,13,Belgium,75
2018--russia,2018,14,Tunisia,35
2018--russia,2018,14,England,11
2018--russia,2018,14,England,90
2018--russia,2018,29,Belgium,6
2018--russia,2018,29,Belgium,51
2018--russia,2018,29,Belgium,16
2018--russia,2018,29,Belgium,45
2018--russia,2018,29,Belgium,90
2018--russia,2018,29,Tunisia,18
2018--russia,2018,29,Tunisia,90
2018--russia,2018,30,England,8
2018--russia,2018,30,England,40
2018--russia,2018,30,England,22
2018--russia,2018,30,England,45
2018--russia,2018,30,England,62
2018--russia,2018,30,England,36
2018--russia,2018,30,Panama,78
2018--russia,2018,45,Belgium,51
2018--russia,2018,46,Panama,33
2018--russia,2018,46,Tunisia,51
2018--russia,2018,46,Tunisia,66
2018--russia,2018,16,Colombia,39
2018--russia,2018,16,Japan,6
2018--russia,2018,16,Japan,73
2018--russia,2018,15,Poland,86
2018--russia,2018,15,Senegal,37
2018--russia,2018,15,Senegal,60
2018--russia,2018,32,Japan,34
2018--russia,2018,32,Japan,78
2018--russia,2018,32,Senegal,11
2018--russia,2018,32,Senegal,71
2018--russia,2018,31,Colombia,40
2018--russia,2018,31,Colombia,70
2018--russia,2018,31,Colombia,75
2018--russia,2018,47,Poland,59
2018--russia,2018,48,Colombia,74
2018--russia,2018,49,Uruguay,7
2018--russia,2018,49,Uruguay,62
2018--russia,2018,49,Portugal,55
2018--russia,2018,50,France,13
2018--russia,2018,50,France,57
2018--russia,2018,50,France,64
2018--russia,2018,50,France,68
2018--russia,2018,50,Argentina,41
2018--russia,2018,50,Argentina,48
2018--russia,2018,50,Argentina,90
2018--russia,2018,51,Spain,12
2018--russia,2018,51,Russia,41
2018--russia,2018,52,Croatia,4
2018--russia,2018,52,Denmark,1
2018--russia,2018,53,Brazil,51
2018--russia,2018,53,Brazil,88
2018--russia,2018,54,Belgium,69
2018--russia,2018,54,Belgium,74
2018--russia,2018,54,Belgium,90
2018--russia,2018,54,Japan,48
2018--russia,2018,54,Japan,52
2018--russia,2018,55,Sweden,66
2018--russia,2018,56,Colombia,90
2018--russia,2018,56,England,57
2018--russia,2018,57,France,40
2018--russia,2018,57,France,61
2018--russia,2018,58,Brazil,76
2018--russia,2018,58,Belgium,13
2018--russia,2018,58,Belgium,31
2018--russia,2018,59,Russia,31
2018--russia,2018,59,Russia,115
2018--russia,2018,59,Croatia,39
2018--russia,2018,59,Croatia,100
2018--russia,2018,60,England,30
2018--russia,2018,60,England,58
2018--russia,2018,61,France,51
2018--russia,2018,62,Croatia,68
2018--russia,2018,62,Croatia,109
2018--russia,2018,62,England,5
2018--russia,2018,63,Belgium,4
2018--russia,2018,63,Belgium,82
2018--russia,2018,64,France,18
2018--russia,2018,64,France,38
2018--russia,2018,64,France,59
2018--russia,2018,64,France,65
2018--russia,2018,64,Croatia,28
2018--russia,2018,64,Croatia,69
